"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"TATA Burger","54 rue Ste Croix de la Bretonnerie, 75004 Paris France","79","4.5",,"1571","$","$11 - $17"
"1000 & 1 Signes","76 rue de Charonne, 75011 Paris France","112","5","1000 & 1 Signes is a place where everything is done to accommodate exchange between deaf and hearing able people. A small brochure demonstrating basic signs is given along with the menu. There are also white boards to facilitate communication between customers. Food fresh from the farmer's market is served at 1000 & 1 Signes in a decor revisited Made in Bled. You will find all the flavors and colors of the traditional Moroccan cuisine such as bricks, Tajine and of course the Couscous. It doesn't matter whether you are hearing able or deaf, you will feel at home in 1000 & 1 Signes.","191","$$ - $$$","$6 - $40"
"Savannah Cafe","27 rue Descartes 75005, 75005 Paris France","98","4.5",,"661","$$ - $$$","$16 - $20"
"L'Oliveto","38 rue de Buci, 75006 Paris France","134","4.5","Open the door and be greeted by Gandolfo, to L'Oliveto, and discover the best of fine Italian dining in Saint Germain des Prés, 38 rue de Buci,in the 6th district in Paris. Come and taste the authentic taste of Southern Italian dishes, prepared daily with fresh ingredients where you can taste the sunshine in the food, lovingly cooked by our Chef , passionately bring you the taste of the finest home cooking. Reservation recommended by phone or website Loliveto-paris.fr . Air conditioning !","1533","$$ - $$$","$20 - $45"
"Les Crepes de Louis-Marie","1 rue de l Arbalete, 75005 Paris France","189","4.5","Les Crêpes de Louis-Marie makes you delicious french crêpes in a welcoming place. The crêpes are all made by Louis-Marie with fresh products and some of them are gluten free. Regularly, according to your preferences, the Menu changes. We are open from Monday to Friday from 12 pm until 3 pm and from 7pm until 11 pm. We looking for welcoming you for a degustation.","292","$","$4 - $16"
"Il Padrino","49 rue Custine, 75018 Paris France","192","4.5",,"320","$$ - $$$",
"Bustronome Paris","2 avenue Kleber, 75116 Paris France","140","4.5","Aboard a double-decker bus converted into a restaurant, guests will enjoy a friendly welcome and a wide variety of dishes in a fashionable setting. The BUSTRONOME : a Parisian invitation to rediscover some of the City of Light's most beautiful locations while enjoying fine French cuisine. This singular journey combines a visual experience with a treat for the taste buds; Paris residents and tourists alike can indulge their love of culture while savouring good food.","284","$$$$","$70 - $150"
"La boite aux lettres","108 rue Lepic, 75018 Paris France","194","4.5","You have to climb the famous Rue Lepic to find La Boite aux Lettres. A charming bistro which offers refined appetizing dishes with seasonal products. For the undecided ones, the set menu ","1156","$$ - $$$","$13 - $39"
"Buddha Restaurant","13 rue Saint Hippolyte, 75013 Paris France","199","4.5",,"463","$$ - $$$","$10 - $25"
"Pages","4 rue Auguste Vacquerie, 75116 Paris France","198","4.5",,"267","$$$$","$65 - $240"
"Bistro V","56 boulevard de Port Royal, 75005 Paris France","188","4.5","Bistro V est un restaurant gastronomique situé à Paris 5 qui vous propose une cuisine française fine et savoureuse. Amateurs de foie fras, d'escargot ou encore de filet de boeuf vous allez être conquis ! Venez au Boulevard de Port-Royal pour passer une soirée unique dans une ambiance chaleureuse et jazzy. Tout l'équipe vous attend !","1273","$$ - $$$","$78"
"L'Escudella","41 avenue de Segur, 75007 Paris France","231","4.5","MODERN BISTROT with Gastronomique cuisine in the heart of the 7th district of Paris. Near the Eiffel Tower but in a quiet and chic neighborhood. The young and talented Rémi Poulain just took over the oven of L'Escudella to provide a fine french dining with innovative cuisine techniques. A small restaurant with a fine setting for its main room of 26 seats and a private room for up to 14 people will welcome you in a warm and cosy ambiance.","393","$$ - $$$","$24 - $55"
"La Petite Rose des Sables","6 rue de Lancry, 75010 Paris France","182","4.5","Welcome to ""la petite rose des sables"", the warmest and most welcoming restaurant in Paris :) This family restaurant is very small (you can fit 6-10 people) and does not take reservations (especially through Hotels). The best way to eat there is to drop by and see if it's open / if there is space. Indeed, lots of friends come often so it can happen that there's birthdays, special reservations, etc. Due to popularity and for all the reasons above, Zouzou and Christian would like to host everyone but it is sometime impossible, try to be comprehensive and act with gentle manners. Moreover, we're very sorry for the people that were disappointed recently, Zouzou got her collarbone broken so the restaurant might be close from time to time with notice on the front door. Enjoy your stay in Paris Kind Regards - The little pink sands fan club","940","$","$15 - $30"
"Le Cherine","74 rue de la Croix Nivert, 75015 Paris France","129","5","A family story , a father - daughter duo that comes to life between Paris and Beirut. Behind the doors of 74 rue de la Croix Nivert a House is born. Inspired by the Lebanese culture , Cherine has managed to divert this space by tucking the light and playing on transparencies , allowing free expression of raw materials such as metal and stone . In this modern decor in warm shades of gold and copper - reminiscent of a sunset - The scents of the dishes signed by the chef's creativity take you through the historic streets of Beirut. The Menu is an invitation to a journey that will show you the way to Lebanon.","435","$$ - $$$","$35 - $60"
"Chao ba","14 rue Coypel près de la place d'Italie, 75013 Paris France","181","4.5","Discover authentic vietnamese food in a cozy hall at Place d'Italie. We serve freshly cooked vietnamese specialities such as nems, springrolls, bobun, pho, bun cha... All dishes and desserts are homemade.","280","$$ - $$$","$11 - $30"
"L'Hommage","36 avenue de Choisy, 75013 Paris France","193","4.5",,"300","$$ - $$$","$27 - $58"
"Cabane","8-10 rue du Dr Foucault, 92000 Nanterre, La Defense France","1","4.5",,"207","$$ - $$$",
"Chantoiseau","63 rue Lepic, 75018 Paris France","166","4.5",,"138","$$$$",
"La Cordonnerie","20 rue Saint Roch 20 Rue Saint Roch, 75001 Paris France","171","4.5",,"727","$$ - $$$","$25 - $32"
"Respiro, Trattoria - Pizzeria","18 rue Maitre Albert, 75005 Paris France","184","4.5","Souhaitez-vous savourer une pizza exquise ? Rendez-vous dès maintenant au restaurant italien Respiro, Pizzeria — Trattoria au 18 rue Maître Albert 75005 Paris. Le restaurant propose plusieurs spécialités italiennes et est réputé pour la saveur unique de ses pizzas. Elles sont très savoureuses et vous transportent en Italie. Chef cuisinier et gérant, le sicilien Francesco Casisa est un expert de la préparation des pizzas. Diplômé à Rome depuis 2004, cet authentique pizzaïolo propose une large variété de plats d’origine sicilienne. Afin de réussir ses pizzas, il prépare la pâte et la conserve dans une cave où l’humidité est parfaite. De même, pour la vraie sauce tomate, il utilise les tomates Mutti d’Italie et des produits frais. Faites un tour dans ce restaurant et vous vous retrouverez en partie en Italie. Un accueil typiquement italien vous est réservé.","210","$$ - $$$","$7 - $43"
"Picotte","42 rue de Malte, 75011 Paris France","170","4.5","A deux pas de la Place de la Republique, le restaurant Picotte vous propose de decouvrir ou redecouvrir les specialites regionales qui font la renommée de la cuisine francaise. Servies sous la forme de petits plats a partager, Picotte est basé sur le partage et la decouverte. Notre carte evolue au fil des saisons, nos produits sont frais et notre cuisine a du gout et du caractere !","195","$$ - $$$","$27 - $40"
"TRADI","4 rue du Mail, 75002 Paris France","178","4.5","Bistro Français ou tout y fait maison avec des produits frais et français avec un maximum de circuit court . Une carte des vins alléchante qui est remaniée souvent .","663","$$ - $$$","$35 - $62"
"Phebe","190 rue de Courcelles, 75017 Paris France","187","4.5",,"317","$$ - $$$","$20 - $50"
"Chez Trassoudaine","3 Place Nationale, 75013 Paris France","197","4.5",,"550","$$ - $$$",
"Le Bistrot d'Indochine","49 rue de Dantzig, 75015 Paris France","155","4.5",,"454","$$ - $$$","$12 - $35"
"Seb'on","62 rue d'Orsel, 75018 Paris France","173","4.5",,"1209","$$ - $$$",
"GRUPPOMIMO - Paris 2","157 rue Montmartre, 75008 Paris France","180","4.5",,"883","$$ - $$$",
"Santa Carne","3 boulevard Richard Lenoir, 75011 Paris France","254","4.5",,"1004","$$ - $$$",
"Bistrot Cote Seine","12 quai Georges Clemenceau, 78380 Bougival France","1","4.5",,"483","$$ - $$$","$15 - $30"
"Le Cabanon de la Butte","6 rue Lamarck, 75018 Paris France","220","4.5",,"684","$$ - $$$",
"Terronia","11 rue des Boulangers Pas de parking dans la rue, 75005 Paris France","183","4.5",,"164","$$ - $$$","$13 - $35"
"Vale&Ale","7 rue Geoffroy Marie Grands boulevards, Folies Berger, 75009 Paris France","191","5",,"127","$$ - $$$",
"Huitres et Saumons de Passy","17 rue de l Annonciation, 75016 Paris France","208","4.5",,"366","$$ - $$$","$24 - $65"
"Pop's","38 rue du Ranelagh, 75016 Paris France","203","4.5","Come discover mediterranean cooking and awesome products. Taste generous dishes and pizzas at very reasonable prices. The design atmosphere and friendly service makes it a great place to have lunch and dinner. Pop's offers you a Mediterranean cuisine based on fresh products. At Pop's, everything is homemade. Welcoming and language skilled crew.","646","$$ - $$$","$12 - $25"
"Juveniles Wine Bar","47 rue de Richelieu, 75001 Paris France","206","4.5",,"467","$$ - $$$",
"Le Clos Y","27 avenue du Maine, 75015 Paris France","204","4.5",,"502","$$$$","$45 - $100"
"Al Assil","50 boulevard de Magenta, 75010 Paris France","217","5",,"84","$",
"Cantina Chic","14 rue de l Etoile 75017 Paris, 75017 Paris France","232","4.5","Small and casual restaurant, fresh products, home made food, friendly service, nice italian wines and low prices.","488","$$ - $$$","$15 - $25"
"Palais Royal Restaurant","110 Galerie de Valois Jardin du Palais Royal, 75001 Paris France","175","4.5",,"556","$$$$","$48 - $120"
"The Frog and Princess","9 rue Princesse, 75006 Paris France","195","4.5","THE FROG & PRINCESS is situated in a beautiful part of Paris called Saint Germain-des-pres. It is a cool, trendy bar with a professional & hip young anglophile clientele. International student nights burst at the seams and throughout the week all major football, rugby and NFL games are shown. If you are visiting Paris for the weekend, it is certainly worth taking The Frog & Princess in, and if you are an expat living in Paris it is a great place, located on the left bank, to make your regular haunt.","476","$$ - $$$","$11 - $17"
"Les Freres Bretons","117 boulevard de Grenelle Métro la motte picquet grenelle, 75015 Paris France","132","4.5","French restaurant based on Breton gastronomy, crêpes, pancakes, Breton cake, salted butter fudge crêpe house made. Eat-in or take-out","495","$","$5 - $12"
"Le Sergent Recruteur","41 rue Saint Louis en L Ile, 75004 Paris France","212","5",,"179","$$$$","$39 - $179"
"Mian Fan","124 boulevard du Montparnasse, 75014 Paris France","245","4.5",,"551","$$ - $$$","$1"
"Restaurant La Pie Noir","5 rue de la Montagne Ste Genevieve, 75005 Paris France","190","4.5",,"523","$$ - $$$","$20 - $32"
"Le Ju'","16 rue des Archives, 75004 Paris France","233","4.5","Les réservations en terrasse ne sont pas garanties. Merci de réserver uniquement pour un repas. Reservation only for food. Reservation only inside.","946","$$ - $$$","$9 - $22"
"Restaurant eels","27 rue d Hauteville, 75010 Paris France","174","4.5",,"470","$$$$",
"La Trattoria dell'Isola","40 rue Rodier, 75009 Paris France","141","4.5",,"842","$$ - $$$","$15 - $30"
"Flesh Restaurant Pigalle","25 rue de Douai, 75009 Paris France","223","4.5",,"858","$$ - $$$","$20 - $40"
"Nirvana Inde","6 rue de Moscou, 75008 Paris France","158","4.5","Nirvane Inde restaurant in Paris near the Place de Clichy near Gare St-Lazare is truly a bit of Indian heaven right here in the 8th arrondissement. The brilliantly vivid d��cor in tones of luxurious purple, red, green and gold, the authentic furnishings, beautifully carved chairs and ambience-enhancing music all create a haven of tranquility. The service is professional and swift, so you can concentrate on superbly spiced dishes like chicken or salmon tikka, lamb rogan josh, chicken korma, or goan prawn curry. The menus are good value and there is a charming terrace for al fresco dining.","342","$$ - $$$","$20 - $40"
"Au P'tit Zinc","2 rue des Plantes Angle du 174 avenue du Maine, 75014 Paris France","219","4.5",,"388","$$ - $$$",
"Happy Caffe","214 rue de Rivoli, 75001 Paris France","213","4.5","Home made products, organic crepes, hot and cold drinks, fresh salad. Some places to seat available. From January 17th, we will be closed in order to renew our shop and for creating some seats. Thank you for your comprehension.","792","$","$1 - $5"
"Pane olio e pomodoro","46 rue de la Fontaine au Roi, 75011 Paris France","218","4.5",,"489","$$ - $$$","$10 - $25"
"Zia","22 avenue de Tourville, 75007 Paris France","205","4.5","Zia is a coffee shop & eatery in the 7th arrondissement of Paris. Serving quality coffee and delicious, market-fresh breakfast, brunch, and lunch. Also offering gourmet picnics to go in the spring and summer. Zia is owned by Chef Justin Kent an American in Paris since 2011.","228","$$ - $$$","$10 - $35"
"La Cassolette","44 avenue du Mesnil, 94210 Saint-Maur-des-Fosses France","1","4.5","Cuisine traditionnelle française faite maison au rythme du marché... Formule déjeuner du mardi au vendredi : ""Entrée du jour + plat du jour"" ou ""Plat du jour + dessert du jour"" + ""1 verre de vin ou 1 café"" = 14,00 €","209","$$ - $$$","$15 - $30"
"Kei Restaurant","5 rue Coq Heron, 75001 Paris France","200","4.5",,"1107","$$$$","$58 - $199"
"Caramel Sarrasin","47 rue du Faubourg Montmartre, 75009 Paris France","201","4.5","French traditional crêperie restaurant with gluten free savory crêpes ( galettes) and crêpes. Home made toppings, ice tea, salad dressing, kasha tabbouleh, apéritive drinks, ... Stéphane owner and chef crêpe maker with more than 20 years of expérience give also crêpe cooking class every afternoon 3.45pm to 6.30pm only on booking. Winner of the tripadvisor traveller choice in 2022. See you soon","351","$$ - $$$",
"Le 975","185 rue Marcadet, 75017 Paris France","216","4.5",,"309","$$ - $$$","$23 - $43"
"La Bossue","9 rue Joseph de Maistre, 75018 Paris France","202","4.5",,"500","$$ - $$$","$1 - $12"
"Aux 2 Saveurs","6 rue Emile Gilbert, 75012 Paris France","209","4.5","High quality French restaurant by Japanese chef located in the 12th district of Paris near Gare de Lyon and Bastille. This address focuses on the quality, and we offer the menu that changes regularly and 100% homemade.","312","$$ - $$$","$30 - $45"
"Sathees","Marche Alimentaire Saint-Germain 4 - 8 Rue Lobineau, 75006 Paris France","227","4.5","On the heart of the 6th arrondissement, Sathees is the canteen of St. Germain des Pres. Everything is 'homemade' and the dishes are made exclusively from fresh produce, with a touch of exotism, when it's possible, to satisfy you.","254","$$ - $$$","$12 - $17"
"Virtus","29 rue de Cotte, 75012 Paris France","222","4.5",,"364","$$$$","$45 - $125"
"L'Acolyte de L'Insolite","49 rue de la Folie-Mericourt, 75011 Paris France","196","4.5",,"405","$$ - $$$","$17 - $35"
"A-Table","92 rue de la Reunion, 75020 Paris France","215","4.5","The Iranian cooking is one of the cultural elements that makes it particularly well aware of the subtlety of the actual Iranian culture. The colorful table is in itself quite telling. It offers a wide variety of foods, dishes, desserts, condiments and accompaniments. Different kinds of soups, stews, rice, breads, syrups, etc. are there to report on Iranian culinary practices of past centuries, and","512","$","$15 - $20"
"Le Cinq","31 Avenue George V Four Seasons Hôtel George V, 75008 Paris France","176","4.5",,"2278","$$$$","$150 - $500"
"24 Le Restaurant","24 rue Jean Mermoz Champs-Elysées, 75008 Paris France","186","5",,"382","$$$$","$39 - $59"
"Restaurant de la Tour","La Motte Picquet 6 rue Desaix, 75015 Paris France","229","4.5","Dear Guests During the Euro Football Champion ship (June 10' to July10'), to reach the Restaurant de la Tour you need a confirmation of reservation and a valid ID. Therefore, please ask us for a reservation confirmation either by phone or by mail","611","$$ - $$$","$25 - $50"
"Les Cuivres","68 avenue de la Republique, 75011 Paris France","230","4.5",,"267","$$ - $$$","$12 - $35"
"Jackpot","10 rue des Haudriettes près du croisement , Rue des Haudriettes / Rue du Temple, 75003 Paris France","211","4.5","Le Jackpot vous accueille du mardi au dimanche avec le Chef Julien .Une formule le midi , de 2 petits plats salés + 1 dessert et aussi de nombreux plats à la carte du soir. Tout est frais, réalisé à la demande. Et le week- end, cerise sur le gâteau, LE BRUNCH, délicieux, renouvelé chaque semaine, composé de nombreux petits plats, salés ou sucrés.Le café de "" Terres de café "". Le pain, est excellents; les vins de qualité à tous les prix et les bières. Réservez vite ! ET depuis cette semaine la salle est CLIMATISEE","225","$$ - $$$","$19 - $31"
"La Puce","17 rue Ernest Renan, 93400 Saint Ouen France","1","4.5","in a small quiet street, a unique location in Saint Ouen, you can discover chef's cuisine from the gastronomy. Simple and modern dishes, well prepared seasonal products. Service is both discreet and present. Wine selection in alliance with small French producers and foreign selection. Open from Tuesday to Saturday for lunch (noon till 2:00 pm) and dinner (from 7:30 pm till 10:00 pm).","451","$$ - $$$","$15 - $36"
"Alan Geaam Restaurant","19 rue Lauriston, 75116 Paris France","210","4.5",,"228","$$$$","$68 - $148"
"Trois Crabes","17 rue Claude Tillier, 75012 Paris France","255","4.5",,"318","$$ - $$$",
"Le Lamarck","8 rue Lamarck, 75018 Paris France","235","4.5",,"394","$$ - $$$",
"Hebe","15 rue Frederic Sauton, 75005 Paris France","185","4.5",,"1263","$$ - $$$","$16 - $70"
"Le Vin Coeur","4 avenue Carnot, 75017 Paris France","269","4.5",,"766","$$ - $$$",
"Bellini","140 avenue de la Republique, 92120 Montrouge France","1","4.5",,"306","$$ - $$$",
"Mobster Diner","20 rue des Boulangers 75005, 75005 Paris France","246","4.5","Mobster Diner, one of the best burgers in Paris, was created in 2014 with a mindset: to offer high quality burgers at an unbeatable price. Great lovers of jazz, the founders have created a convivial atmosphere that best reflects the most representative period of this musical genre: the 1920s and prohibition. The restaurant is open 7 days a week, for lunch and dinner in the 5th arrondissement of Paris, near Jussieu, Cardinal Lemoine, Place Monge, rue Mouffetard, pantheon, Quartier Latin and the Jardin des Plantes. Vege burgers are possible for all the burgers offered. Address : 20 rue des boulangers. (5 Minutes away from la Sorbonne and Notre Dame) Metro Jussieu & Cardinal Lemoine, line 7 and 10.","712","$","$9 - $13"
"La Grande Ourse","9 rue Georges Sache, 75014 Paris France","250","4.5",,"301","$$ - $$$",
"L'Escale Caraibeenne","3 Galerie de la Fontaine, 92360, Meudon France","1","4.5",,"195","$$ - $$$","$10 - $18"
"Sourire Le Restaurant","15 rue de la Sante, 75013 Paris France","243","4.5","Cuisine gastronomique dans un cadre cosy et chaleureux composé de grande table en marbre et de fauteuils en velours bleu. Le chef Justin Brohm propose une cuisine d'auteur et travaille des produits saisonniers de qualité avec des accords originaux, twiste certains classiques, embellit des produits moins nobles ou joue sur des unions étonnants. Le menu change tout les mois en fonction des saisons et des produits proposés par les producteurs, s'adaptant ainsi à ce qu'offre la nature. Les vins sont choisis par le sommelier auprès de vignerons dûment sélectionnés.","416","$$$$","$39 - $69"
"Bistrot l'Olivier","88 rue Ordener, 75018 Paris France","240","4.5",,"424","$$ - $$$",
"Lilane","8 rue Gracieuse, 75005 Paris France","239","4.5",,"348","$$ - $$$",
"Ze Kitchen Galerie","4 rue des Grands Augustins, 75006 Paris France","249","4.5",,"1463","$$$$","$41 - $98"
"Don Giovanni","19 rue Francois Miron, 75004 Paris France","241","4.5",,"479","$$ - $$$",
"Lucette fait des Crepes","4 rue de Milan, 75009 Paris France","262","4.5","Best crepes in town. Everything is homemade and... Made with love ! A large choice of organic products served with the beautiful smile of our waitress...","416","$","$3 - $24"
"Pierre Gagnaire","6 Rue Balzac, 75008 Paris France","238","4.5",,"1042","$$$$",
"Jeongane","60 rue des Morillons, 75015 Paris France","277","4.5","Notre repas principal est le barbecue et le Bibimbap. Notre restaurant est à Paris dans le 15ème arrondissement au 60 rue des Morillons 75015. Notre restaurant à été ouvert en septembre 2016.","279","$",
"Habesha","19 rue Copreaux, 75015 Paris France","253","4.5",,"226","$$ - $$$",
"Restaurant la Ville de Provins Paris","74 boulevard de Strasbourg Metro Gare de l'Est, 75010 Paris France","271","4.5","Situated nearby Gare de l'Est Station , the Brasserie and Restaurant La Ville de Provins welcomes you every day to taste good quality traditional brasserie dishes or simply to have a drink while waiting for your train, and this throughout the day. Dating of the beginning of the century, you will be seduced by its typical decoration and its moderate prices, as well as by his sunny terrace. For more information visit our Facebook page!","533","$$ - $$$",
"L'Envie du Jour","106 rue Nollet, 75017 Paris France","275","4.5",,"555","$$ - $$$","$16 - $44"
"Restaurant Japonais La Marina","18 Rue de la Michodiere, 75002 Paris France","258","4.5",,"319","$$ - $$$","$9 - $30"
"BMK Paris-Bamako","14 Rue de la Fidelite, 75010 Paris France","252","4.5",,"210","$$ - $$$","$10 - $16"
"Cafe Blanche","79 rue Blanche, 75009 Paris France","224","4.5","Situé à deux pas du célèbre Moulin Rouge à Paris, le Café Blanche vous propose une restauration française de qualité. Retrouvez une ambiance festive grâce au nombreux concerts qui animeront vos soirées.","159","$$ - $$$",
"La Forge","14 rue Pascal Métro Censier Daubenton, 75005 Paris France","274","4.5","Typical french food home made from starter to dessert Our staff will welcome you as well as possible","433","$$ - $$$","$18 - $60"
"La Table d'Hami","5 rue Daubenton 5, rue Daubenton, 75005 Paris France","279","4.5",,"209","$$ - $$$",
"BAFFO","12 Rue Pecquay, 75004 Paris France","273","4.5",,"487","$$ - $$$","$40 - $130"
"Le Petit Amalfi","29 rue de Turin, 75008 Paris France","261","4.5",,"391","$$ - $$$",
"Restaurant L'Homme Bleu","Oberkampf 55 B rue Jean Pierre Timbaud, 75011 Paris France","276","4.5",,"371","$$ - $$$","$18 - $40"
"Petite Fleur","5 rue Damremont, 75018 Paris France","256","4.5","Petite Fleur is an intimate, cozy & friendly Parisian Bistro. We cook only fresh, seasonal and locally sourced products. Our plates are all too share and change every day. Our Biodynamic and/or naturel wines are all from small French wineyards.","567","$$ - $$$","$23 - $50"
"Le Saotico","96 Rue de Richelieu, 75002 Paris France","260","4.5",,"1174","$$ - $$$","$18 - $50"
"Olympe Sports Cafe","46 avenue du General de Gaulle, 94300 Vincennes France","2","4.5",,"259","$$ - $$$","$18 - $29"
"Chez Madeleine","39 rue de Paris, 92100 Boulogne-Billancourt France","1","4.5",,"558","$$ - $$$",
"Monterosso","7 rue Georges Bouzerait, 92120 Montrouge France","2","4.5",,"189","$$ - $$$",
"La Pause Libanaise","10 Rue De L'Isly, 75008 Paris France","284","4.5","Découvrez le meilleur restaurant libanais de Paris ️ Goûtez nos spécialités libanaises, à proximité de la gare Saint-Lazare, en livraison, sur place ou à emporter. La Pause Libanaise vous propose des plats traditionnels halals entièrement faits maison : houmous, falafel, mézzé libanais, moutabal d'aubergines, salade Fattouch et bien plus encore ! Chaque jour, nos plats méditerranéens sont cuisinés avec des produits frais et de qualités. Pour accompagner votre repas, profitez de notre sélection de vins et de bières libanaises.","776","$","$20 - $45"
"Brutus - Batignolles","99 rue des Dames, 75017 Paris France","272","4.5","Modern crepery with cider bar. The restaurant is temporary closed due to renovations. It will reopen on Monday August 27th 2018.","276","$$ - $$$","$12 - $20"
"La Scene Theleme","18 Rue Troyon, 75017 Paris France","264","4.5","An unusual site where you find a starred restaurant and a small theatre, the two owner’s passions. In charge of the restaurant, Yoshitaka Takayanagi is one of the brightest chef of his generation: refinement, harmony, creativity, fresh seasonal ingredients from the market, perfect cooking. Félix Manenti and his staff will be happy to welcome you for a memorable moment.","430","$$$$","$49 - $149"
"Le Loubnane","29 rue Galande, 75005 Paris France","265","4.5","It was in 1984 that Kamal Nassif, heir to the Ambassador of the Lebanese Gastronomy in France, had the good sense to open Loubnane, continuing the work of his uncle: Rachid Youssef Makhoul, who was the first to try their luck dice 1952 by Chez Rachid, the delights of Lebanon, the only Lebanese restaurant in France. - Quality, home, passion has always been the currency of all establishments that Rachid Kamal and his brothers had the pleasure to know you over the years. - If the history of Lebanon is as complex as rich, what about her Gastronomy? Varied, fine and full of paradoxes, you will find in each of the dishes offered a delicious perfume of the Middle East, a subtle blend of spices and a story that Kamal and his team will surely tell you. - The Loubnane is one of those magical places or form has nothing to envy to the bottom; take time to discover the 13th Century Private rooms in the basement, drenched in history, they will transport you somewhere in the Land of Cedars or the meal is much more than a break in the day ... - It's your turn, close your eyes and let yourself be lulled by the favorite cuisine du Général de Gaulle ...","1382","$$ - $$$","$25 - $45"
"Les Trublions","34 rue de la Montagne Ste Genevieve, 75005 Paris France","288","4.5","Raula & Romain are happy and proud, after 18 years (for Romain) and 10 years (for Raula), to welcome you to their small, cosy and intimate Bistrot Gourmand. After 2 months of hard work and decoration, Les Trublions opened and we would like you to be part of it's first chapter . We wanted to make this place our life project and a blend of our passions: that of receiving, that of good taste without any fuss, that of sharing flavours, that of smiles and pleasure, that of good wine and good memories.We would like to transform this place into a cocoon for our guests as well as for ourselves by sharing a moment of simplicity where timeless values like good wine, food and words combine. Culinary and Gastronomic Regards.","437","$$ - $$$","$19 - $34"
"Lea","152 rue de Paris, 94220 Charenton-le-Pont France","1","4.5",,"324","$$ - $$$","$14 - $35"
"Casa Festa","16 rue Jean Jacques Rousseau, 75001 Paris France","300","4.5",,"743","$$ - $$$",
"L'Accolade","208 rue de la Croix Nivert, 75015 Paris France","292","4.5",,"225","$$ - $$$",
"Tonkatsu Tombo","14 rue de l Arrivee, 75015 Paris France","281","4.5",,"246","$$ - $$$",
"Menekse","7 Passage de la Main D Or, 75011 Paris France","322","4.5",,"242","$$ - $$$",
"Restaurant OXTE","5 rue Troyon, 75017 Paris France","283","4.5",,"262","$$$$",
"Le Louis","31 rue Coquilliere, 75001 Paris France","257","4.5","Le Louis est un restaurant de cuisine Française traditionnelle où tout est fait maison, avec amour à partir de produits frais et de saison. Le cadre est authentique avec ses vieilles pierres et ses poutres apparentes, l'espace réduit, et le service chaleureux, de sorte à ce que chacun se sente un peu comme à la maison! En invité! Le Louis a obtenu sa Toque Gourmande ""Gault & Millau en juin 2022.","1055","$$ - $$$","$20 - $50"
"46 & 3rd","46 rue de Turbigo, 75003 Paris France","247","4.5","Hello, thank you for your interest at our restaurant. We do not accept reservations, please come anytime you want… We use fresh, seasonal and finest ingredients for our recipes. Our specialty is breakfast & brunch every day of the week... We are passionate about our pancakes, our crispy bacon, our eggs Benedict options and our coffee. We hope that you will spend great time at our restaurant with your friends, families or alone. Looking forward to meeting you!! 46 & 3rd Team","255","$$ - $$$","$10 - $28"
"Rajpoot","31 rue Charles de Gaulle, 94140 Alfortville France","1","4.5",,"317","$$ - $$$",
"Chez Toinette","20 rue Germain Pilon, 75018 Paris France","259","4.5","Welcome on our typical Parisian place in Montmarte. We welcome you every day except Sunday from 7:00 pm We propose you nice French food and wines… You can reserve by phone or mail. Hope to see you soon","1618","$$ - $$$","$19 - $40"
"Olive & Thym - Par Man'ouche","60 rue Quincampoix, 75004 Paris France","242","4.5","Est un concept imaginé par deux frères d'origine libanaise bercés par la cuisine méditerranéenne. Après avoir redynamiser le street food Man'ouché institution de la galette traditionnelle libanaise, ils s'inspirent de nouvelles tendances food pour remettre la cuisine libanaise au gout du jour avec de nouvelles recettes et un nouveau format baptisé la «cartounée»...","313","$",
"La Reserve Du Terroir","13 Rue Quincampoix, 75004 Paris France","358","5",,"528","$","$15 - $35"
"In Bocca al lupo","14 rue Francoeur Montmartre Neighborhood, 75018 Paris France","267","4.5",,"427","$$ - $$$",
"Les Fines Lames","35 rue Lepic, 75018 Paris France","280","4.5",,"239","$$$$","$30 - $70"
"Le Potager du Pere Thierry","16 rue des 3 Freres, 75018 Paris France","311","4.5",,"490","$$ - $$$",
"YO","10 rue de Port Mahon, 75002 Paris France","285","4.5",,"456","$$ - $$$",
"Papelli","61 rue du Faubourg Saint Martin, 75010 Paris France","298","4.5","Papelli is an italian trattoria Everyday fresh pizzas and salads A large propositions of drinks Cool place with selected products","341","$$ - $$$","$9 - $18"
"Arnaud Nicolas","46 avenue de la Bourdonnais 46, Avenue de la Bourdonnais, 75007 Paris France","244","4.5","A la carte, and also to take away from a creative corner shop, Arnaud Nicolas cooks classics from the French charcuterie, in a refined way: deli meats preparations made of poultry and foie gras, sausages of Lyons, “terrine grand-mère”… Another credo of the craftsman: draw inspiration from pastry-making to bring a new twist and a creative look to his deli meats. Arnaud Nicolas’ restaurant is the spot of a butcher who watches back to the past for his values, sticks to the present to keep with the times and looks towards the future for quenching his thirst of innovation. A menu is also available with fishes and vegetables !","364","$$$$","$25 - $50"
"Le Cambodge","2 rue Leriche, 75015 Paris France","308","4.5",,"213","$",
"Les Cedres Du Liban Paris","5 Avenue Du Maine, 75015 Paris France","289","4.5",,"1045","$$ - $$$","$10 - $25"
"O Soleil Couscous Maison","21 rue de Patay, 75013 Paris France","555","5",,"182","$","$8 - $18"
"Auberge des Saints Peres","212 Av. de Nonneville, 93600 Aulnay-sous-Bois France","1","4.5",,"381","$$$$","$40 - $51"
